Entry	EC number	Protein families	Enzyme class
P28062	3.4.25.1	Peptidase T1B family	Hydrolases
P28065	3.4.25.1	Peptidase T1B family	Hydrolases
P28072	3.4.25.1	Peptidase T1B family	Hydrolases
P28074	3.4.25.1	Peptidase T1B family	Hydrolases
P28288	3.1.2.-; 7.6.2.-	ABC transporter superfamily, ABCD family, Peroxisomal fatty acyl CoA transporter (TC 3.A.1.203) subfamily	Hydrolases
P28340	2.7.7.7; 3.1.11.-	DNA polymerase type-B family	Hydrolases
P28370	3.6.4.-	SNF2/RAD54 helicase family, ISWI subfamily	Hydrolases
P28562	3.1.3.16; 3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily	Hydrolases
P28715	3.1.-.-	XPG/RAD2 endonuclease family, XPG subfamily	Hydrolases
P28827	3.1.3.48	Protein-tyrosine phosphatase family, Receptor class 2B subfamily	Hydrolases
P28838	3.4.11.1; 3.4.11.5; 3.4.13.23	Peptidase M17 family	Hydrolases
P28907	2.4.99.20; 3.2.2.-; 3.2.2.6	ADP-ribosyl cyclase family	Hydrolases
P29074	3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class subfamily	Hydrolases
P29120	3.4.21.93	Peptidase S8 family, Furin subfamily	Hydrolases
P29122	3.4.21.-	Peptidase S8 family	Hydrolases
P29144	3.4.14.10	Peptidase S8 family	Hydrolases
P29218	3.1.3.25; 3.1.3.94	Inositol monophosphatase superfamily	Hydrolases
P29350	3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class 2 subfamily	Hydrolases
P29372	3.2.2.21	DNA glycosylase MPG family	Hydrolases
P29466	3.4.22.36	Peptidase C14A family	Hydrolases
P29992	3.6.5.-	G-alpha family, G(q) subfamily	Hydrolases
P30041	1.11.1.27; 2.3.1.23; 3.1.1.4	Peroxiredoxin family, Prx6 subfamily	Hydrolases
P30304	3.1.3.48	MPI phosphatase family	Hydrolases
P30305	3.1.3.48	MPI phosphatase family	Hydrolases
P30307	3.1.3.48	MPI phosphatase family	Hydrolases
P30793	3.5.4.16	GTP cyclohydrolase I family	Hydrolases
P30876	2.7.7.48; 2.7.7.6; 3.1.13.-	RNA polymerase beta chain family	Hydrolases
P31939	2.1.2.3; 3.5.4.10	PurH family	Hydrolases
P31941	3.5.4.38	Cytidine and deoxycytidylate deaminase family	Hydrolases
P31944	3.4.22.-	Peptidase C14A family	Hydrolases
P32019	3.1.3.36	Inositol 1,4,5-trisphosphate 5-phosphatase type II family	Hydrolases
P32320	3.5.4.5	Cytidine and deoxycytidylate deaminase family	Hydrolases
P32321	3.5.4.12	Cytidine and deoxycytidylate deaminase family	Hydrolases
P32455	3.6.1.-; 3.6.5.-	TRAFAC class dynamin-like GTPase superfamily, GB1/RHD3 GTPase family, GB1 subfamily	Hydrolases
P32456	3.6.5.-	TRAFAC class dynamin-like GTPase superfamily, GB1/RHD3 GTPase family, GB1 subfamily	Hydrolases
P33316	3.6.1.23	DUTPase family	Hydrolases
P33897	3.1.2.-; 7.6.2.-	ABC transporter superfamily, ABCD family, Peroxisomal fatty acyl CoA transporter (TC 3.A.1.203) subfamily	Hydrolases
P33908	3.2.1.113	Glycosyl hydrolase 47 family	Hydrolases
P33991	3.6.4.12	MCM family	Hydrolases
P33992	3.6.4.12	MCM family	Hydrolases
P33993	3.6.4.12	MCM family	Hydrolases
P34059	3.1.6.4	Sulfatase family	Hydrolases
P34096	3.1.27.-	Pancreatic ribonuclease family	Hydrolases
P34913	3.1.3.76; 3.3.2.10	AB hydrolase superfamily, Epoxide hydrolase family	Hydrolases
P35030	3.4.21.4	Peptidase S1 family	Hydrolases
P35125	3.4.19.12	Peptidase C19 family	Hydrolases
P35236	3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class subfamily	Hydrolases
P35475	3.2.1.76	Glycosyl hydrolase 39 family	Hydrolases
P35573	2.4.1.25; 3.2.1.33	Glycogen debranching enzyme family	Hydrolases
P35575	3.1.3.9	Glucose-6-phosphatase family	Hydrolases
P35813	3.1.3.16	PP2C family	Hydrolases
P35913	3.1.4.35	Cyclic nucleotide phosphodiesterase family	Hydrolases
P36269	2.3.2.2; 3.4.19.13; 3.4.19.14	Gamma-glutamyltransferase family	Hydrolases
P36639	3.6.1.-; 3.6.1.56	Nudix hydrolase family	Hydrolases
P36776	3.4.21.53	Peptidase S16 family	Hydrolases
P36873	3.1.3.16	PPP phosphatase family, PP-1 subfamily	Hydrolases
P38405	3.6.5.-	G-alpha family, G(s) subfamily	Hydrolases
P38567	3.2.1.35	Glycosyl hydrolase 56 family	Hydrolases
P38571	3.1.1.13	AB hydrolase superfamily, Lipase family	Hydrolases
P38919	3.6.4.13	DEAD box helicase family, eIF4A subfamily	Hydrolases
P38935	3.6.4.12; 3.6.4.13	DNA2/NAM7 helicase family	Hydrolases
P39748	3.1.-.-	XPG/RAD2 endonuclease family, FEN1 subfamily	Hydrolases
P39877	3.1.1.4	Phospholipase A2 family	Hydrolases
P39900	3.4.24.65	Peptidase M10A family	Hydrolases
P40306	3.4.25.1	Peptidase T1B family	Hydrolases
P40818	3.4.19.12	Peptidase C19 family	Hydrolases
P41091	3.6.5.3	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EIF2G subfamily	Hydrolases
P41238	3.5.4.-; 3.5.4.36	Cytidine and deoxycytidylate deaminase family	Hydrolases
P41247	3.1.1.3; 3.1.1.4		Hydrolases
P42285	3.6.4.13	Helicase family, SKI2 subfamily	Hydrolases
P42574	3.4.22.56	Peptidase C14A family	Hydrolases
P42575	3.4.22.55	Peptidase C14A family	Hydrolases
P42694	3.6.4.-	DNA2/NAM7 helicase family	Hydrolases
P42765	2.3.1.16; 2.3.1.9; 3.1.2.-; 3.1.2.1; 3.1.2.2	Thiolase-like superfamily, Thiolase family	Hydrolases
P42785	3.4.16.2	Peptidase S28 family	Hydrolases
P42892	3.4.24.71	Peptidase M13 family	Hydrolases
P43234	3.4.22.42	Peptidase C1 family	Hydrolases
P43235	3.4.22.38	Peptidase C1 family	Hydrolases
P43251	3.5.1.12	Carbon-nitrogen hydrolase superfamily, BTD/VNN family	Hydrolases
P43378	3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class 3 subfamily	Hydrolases
P45381	3.5.1.15	AspA/AstE family, Aspartoacylase subfamily	Hydrolases
P45452	3.4.24.-	Peptidase M10A family	Hydrolases
P45974	3.4.19.12	Peptidase C19 family	Hydrolases
P46100	3.6.4.12	SNF2/RAD54 helicase family	Hydrolases
P46459	3.6.4.6	AAA ATPase family	Hydrolases
P46736	3.4.19.-	Peptidase M67A family, BRCC36 subfamily	Hydrolases
P46926	3.5.99.6	Glucosamine/galactosamine-6-phosphate isomerase family	Hydrolases
P47712	3.1.1.4; 3.1.1.5		Hydrolases
P48052	3.4.17.15	Peptidase M14 family	Hydrolases
P48147	3.4.21.26	Peptidase S9A family	Hydrolases
P48454	3.1.3.16	PPP phosphatase family, PP-2B subfamily	Hydrolases
P48740	3.4.21.-	Peptidase S1 family	Hydrolases
P49184	3.1.21.-	DNase I family	Hydrolases
P49327	1.1.1.100; 1.3.1.39; 2.3.1.38; 2.3.1.39; 2.3.1.41; 2.3.1.85; 3.1.2.14; 4.2.1.59		Hydrolases
P49593	3.1.3.16	PP2C family	Hydrolases
P49641	3.2.1.114	Glycosyl hydrolase 38 family	Hydrolases
P49662	3.4.22.57	Peptidase C14A family	Hydrolases
P49736	3.6.4.12	MCM family	Hydrolases
P49753	3.1.2.2	C/M/P thioester hydrolase family	Hydrolases
P49768	3.4.23.-	Peptidase A22A family	Hydrolases
P49773	3.4.22.-; 3.9.1.-	HINT family	Hydrolases
P49789	2.7.7.51; 3.6.1.29; 3.6.2.1; 3.9.1.-		Hydrolases
P49810	3.4.23.-	Peptidase A22A family	Hydrolases
P49862	3.4.21.117	Peptidase S1 family, Kallikrein subfamily	Hydrolases
P49863	3.4.21.-	Peptidase S1 family, Granzyme subfamily	Hydrolases
P49902	2.7.1.77; 3.1.3.5; 3.1.3.99	5'(3')-deoxyribonucleotidase family	Hydrolases
P49959	3.1.-.-	MRE11/RAD32 family	Hydrolases
P49961	3.6.1.5	GDA1/CD39 NTPase family	Hydrolases
P50148	3.6.5.-	G-alpha family, G(q) subfamily	Hydrolases
P50281	3.4.24.80	Peptidase M10A family	Hydrolases
P50570	3.6.5.5	TRAFAC class dynamin-like GTPase superfamily, Dynamin/Fzo/YdjA family	Hydrolases
P50579	3.4.11.18	Peptidase M24A family, Methionine aminopeptidase eukaryotic type 2 subfamily	Hydrolases
P50583	3.6.1.17	Nudix hydrolase family	Hydrolases
P50897	3.1.2.22	Palmitoyl-protein thioesterase family	Hydrolases
P51124	3.4.21.-	Peptidase S1 family, Granzyme subfamily	Hydrolases
P51148	3.6.5.2	Small GTPase superfamily, Rab family	Hydrolases
P51149	3.6.5.2	Small GTPase superfamily, Rab family	Hydrolases
P51153	3.6.5.2	Small GTPase superfamily, Rab family	Hydrolases
P51159	3.6.5.2	Small GTPase superfamily, Rab family	Hydrolases
P51160	3.1.4.35	Cyclic nucleotide phosphodiesterase family	Hydrolases
P51178	3.1.4.11		Hydrolases
P51452	3.1.3.16; 3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily	Hydrolases
P51511	3.4.24.-	Peptidase M10A family	Hydrolases
P51512	3.4.24.-	Peptidase M10A family	Hydrolases
P51530	3.1.-.-; 3.6.4.12	DNA2/NAM7 helicase family	Hydrolases
P51531	3.6.4.-	SNF2/RAD54 helicase family	Hydrolases
P51532	3.6.4.-	SNF2/RAD54 helicase family	Hydrolases
P51688	3.10.1.1	Sulfatase family	Hydrolases
P51690	3.1.6.1	Sulfatase family	Hydrolases
P51784	3.4.19.12	Peptidase C19 family	Hydrolases
P51878	3.4.22.58	Peptidase C14A family	Hydrolases
P52758	3.5.99.10	RutC family	Hydrolases
P52848	2.8.2.8; 3.5.1.-	Sulfotransferase 1 family, NDST subfamily	Hydrolases
P52849	2.8.2.-; 2.8.2.8; 3.-.-.-	Sulfotransferase 1 family, NDST subfamily	Hydrolases
P52888	3.4.24.15	Peptidase M3 family	Hydrolases
P52948	3.4.21.-	Nucleoporin GLFG family	Hydrolases
P53041	3.1.3.16	PPP phosphatase family, PP-5 (PP-T) subfamily	Hydrolases
P53370	3.6.1.-	Nudix hydrolase family	Hydrolases
P53582	3.4.11.18	Peptidase M24A family, Methionine aminopeptidase type 1 subfamily	Hydrolases
P53634	3.4.14.1	Peptidase C1 family	Hydrolases
P53816	2.3.1.-; 3.1.1.32; 3.1.1.4	H-rev107 family	Hydrolases
P54098	2.7.7.7; 3.1.11.-; 4.2.99.-	DNA polymerase type-A family	Hydrolases
P54252	3.4.19.12		Hydrolases
P54278	3.1.-.-	DNA mismatch repair MutL/HexB family	Hydrolases
P54317	3.1.1.26; 3.1.1.3	AB hydrolase superfamily, Lipase family	Hydrolases
P54578	3.4.19.12	Peptidase C19 family, USP14/UBP6 subfamily	Hydrolases
P54750	3.1.4.17	Cyclic nucleotide phosphodiesterase family, PDE1 subfamily	Hydrolases
P54802	3.2.1.50	Glycosyl hydrolase 89 family	Hydrolases
P54803	3.2.1.46	Glycosyl hydrolase 59 family	Hydrolases
P54829	3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class subfamily	Hydrolases
P54922	3.2.2.19	ADP-ribosylglycohydrolase family	Hydrolases
P55039	3.6.5.-	TRAFAC class OBG-HflX-like GTPase superfamily, OBG GTPase family	Hydrolases
P55072	3.6.4.6	AAA ATPase family	Hydrolases
P55210	3.4.22.60	Peptidase C14A family	Hydrolases
P55211	3.4.22.62	Peptidase C14A family	Hydrolases
P55212	3.4.22.59	Peptidase C14A family	Hydrolases
P55265	3.5.4.37		Hydrolases
P55786	3.4.11.14	Peptidase M1 family	Hydrolases
P56180	3.1.3.48		Hydrolases
P56202	3.4.22.-	Peptidase C1 family	Hydrolases
P56524	3.5.1.98	Histone deacetylase family, HD type 2 subfamily	Hydrolases
P56597	3.1.-.-	NDK family	Hydrolases
P56730	3.4.21.-	Peptidase S1 family	Hydrolases
P56817	3.4.23.46	Peptidase A1 family	Hydrolases
P57727	3.4.21.-	Peptidase S1 family	Hydrolases
P57772	3.6.5.-	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, SelB subfamily	Hydrolases
P58397	3.4.24.-		Hydrolases
P59510	3.4.24.-		Hydrolases
P60484	3.1.3.-; 3.1.3.16; 3.1.3.48; 3.1.3.67	PTEN phosphatase protein family	Hydrolases
P60510	3.1.3.16	PPP phosphatase family, PP-4 (PP-X) subfamily	Hydrolases
P60709	3.6.4.-	Actin family	Hydrolases
P60763	3.6.5.2	Small GTPase superfamily, Rho family	Hydrolases
P60842	3.6.4.13	DEAD box helicase family, eIF4A subfamily	Hydrolases
P60953	3.6.5.2	Small GTPase superfamily, Rho family, CDC42 subfamily	Hydrolases
P61006	3.6.5.2	Small GTPase superfamily, Rab family	Hydrolases
P61011	3.6.5.4	GTP-binding SRP family, SRP54 subfamily	Hydrolases
P61018	3.6.5.2	Small GTPase superfamily, Rab family	Hydrolases
P61019	3.6.5.2	Small GTPase superfamily, Rab family	Hydrolases
P61020	3.6.5.2	Small GTPase superfamily, Rab family	Hydrolases
P61026	3.6.5.2	Small GTPase superfamily, Rab family	Hydrolases
P61106	3.6.5.2	Small GTPase superfamily, Rab family	Hydrolases
P61221	3.6.5.-	ABC transporter superfamily, ABCE family	Hydrolases
P61224	3.6.5.2	Small GTPase superfamily, Ras family	Hydrolases
P61225	3.6.5.2	Small GTPase superfamily, Ras family	Hydrolases
P61586	3.6.5.2	Small GTPase superfamily, Rho family	Hydrolases
P61626	3.2.1.17	Glycosyl hydrolase 22 family	Hydrolases
P62068	3.4.19.12	Peptidase C19 family, USP12/USP46 subfamily	Hydrolases
P62070	3.6.5.-	Small GTPase superfamily, Ras family	Hydrolases
P62136	3.1.3.16	PPP phosphatase family, PP-1 subfamily	Hydrolases
P62140	3.1.3.16; 3.1.3.53	PPP phosphatase family, PP-1 subfamily	Hydrolases
P62330	3.6.5.2	Small GTPase superfamily, Arf family	Hydrolases
P62491	3.6.5.2	Small GTPase superfamily, Rab family	Hydrolases
P62714	3.1.3.16	PPP phosphatase family, PP-1 subfamily	Hydrolases
P62736	3.6.4.-	Actin family	Hydrolases
P62820	3.6.5.2	Small GTPase superfamily, Rab family	Hydrolases
P62826	3.6.5.-	Small GTPase superfamily, Ran family	Hydrolases
P62834	3.6.5.2	Small GTPase superfamily, Ras family	Hydrolases
P63000	3.6.5.2	Small GTPase superfamily, Rho family	Hydrolases
P63092	3.6.5.-	G-alpha family, G(s) subfamily	Hydrolases
P63096	3.6.5.-	G-alpha family, G(i/o/t/z) subfamily	Hydrolases
P63128	2.7.7.49; 2.7.7.7; 3.1.26.4; 3.4.23.50	Beta type-B retroviral polymerase family, HERV class-II K(HML-2) pol subfamily	Hydrolases
P63261	3.6.4.-	Actin family	Hydrolases
P63267	3.6.4.-	Actin family	Hydrolases
P67775	3.1.3.16	PPP phosphatase family, PP-1 subfamily	Hydrolases
P67812	3.4.21.89	Peptidase S26B family	Hydrolases
P68032	3.6.4.-	Actin family	Hydrolases
P68104	3.6.5.-	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-Tu/EF-1A subfamily	Hydrolases
P68133	3.6.4.-	Actin family	Hydrolases
P68363	3.6.5.-	Tubulin family	Hydrolases
P68366	3.6.5.-	Tubulin family	Hydrolases
P68402	3.1.1.47	'GDSL' lipolytic enzyme family, Platelet-activating factor acetylhydrolase IB beta/gamma subunits subfamily	Hydrolases
P78325	3.4.24.-		Hydrolases
P78330	3.1.3.3	HAD-like hydrolase superfamily, SerB family	Hydrolases
P78509	3.4.21.-	Reelin family	Hydrolases
P78536	3.4.24.86		Hydrolases
P78540	3.5.3.1	Arginase family	Hydrolases
P78549	3.2.2.-; 4.2.99.18	Nth/MutY family	Hydrolases
P78562	3.4.24.-	Peptidase M13 family	Hydrolases
P78563	3.5.4.37		Hydrolases
P80108	3.1.4.50	GPLD1 family	Hydrolases
P81605	3.4.-.-		Hydrolases
P83105	3.4.21.-	Peptidase S1C family	Hydrolases
P83110	3.4.21.-	Peptidase S1C family	Hydrolases
P83111	3.4.-.-	Peptidase S12 family	Hydrolases
P84077	3.6.5.2	Small GTPase superfamily, Arf family	Hydrolases
P98066	3.1.1.-		Hydrolases
P98073	3.4.21.9	Peptidase S1 family	Hydrolases
Q00722	3.1.4.11		Hydrolases
Q01064	3.1.4.17	Cyclic nucleotide phosphodiesterase family, PDE1 subfamily	Hydrolases
Q01432	3.5.4.6	Metallo-dependent hydrolases superfamily, Adenosine and AMP deaminases family	Hydrolases
Q01433	3.5.4.6	Metallo-dependent hydrolases superfamily, Adenosine and AMP deaminases family	Hydrolases
Q01638	3.2.2.6	Interleukin-1 receptor family	Hydrolases
Q01780	3.1.13.-	Exosome component 10/RRP6 family	Hydrolases
Q01804	3.4.19.12		Hydrolases
Q01968	3.1.3.36; 3.1.3.56; 3.1.3.86	Inositol 1,4,5-trisphosphate 5-phosphatase type II family	Hydrolases
Q01970	3.1.4.11		Hydrolases
Q02083	3.5.1.23; 3.5.1.60	Acid ceramidase family	Hydrolases
Q03154	3.5.1.14	Peptidase M20A family	Hydrolases
Q03468	3.6.4.-	SNF2/RAD54 helicase family	Hydrolases
Q04609	3.4.17.21	Peptidase M28 family, M28B subfamily	Hydrolases
Q04756	3.4.21.-	Peptidase S1 family	Hydrolases
Q05193	3.6.5.5	TRAFAC class dynamin-like GTPase superfamily, Dynamin/Fzo/YdjA family	Hydrolases
Q05209	3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class 4 subfamily	Hydrolases
Q05469	3.1.1.23; 3.1.1.79	'GDXG' lipolytic enzyme family	Hydrolases
Q05823	3.1.26.-	Protein kinase superfamily	Hydrolases
Q05923	3.1.3.16; 3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily	Hydrolases
Q06124	3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class 2 subfamily	Hydrolases
Q07075	3.4.11.7	Peptidase M1 family	Hydrolases
Q07343	3.1.4.53	Cyclic nucleotide phosphodiesterase family, PDE4 subfamily	Hydrolases
Q07864	2.7.7.7; 3.1.11.-	DNA polymerase type-B family	Hydrolases
Q08209	3.1.3.16	PPP phosphatase family, PP-2B subfamily	Hydrolases
Q08211	3.6.4.13	DEAD box helicase family, DEAH subfamily	Hydrolases
Q08493	3.1.4.53	Cyclic nucleotide phosphodiesterase family, PDE4 subfamily	Hydrolases
Q08499	3.1.4.53	Cyclic nucleotide phosphodiesterase family, PDE4 subfamily	Hydrolases
Q08623	3.1.3.96	HAD-like hydrolase superfamily, CbbY/CbbZ/Gph/YieH family	Hydrolases
Q0WX57	3.4.19.12	Peptidase C19 family, USP17 subfamily	Hydrolases
Q10588	3.2.2.6	ADP-ribosyl cyclase family	Hydrolases
Q12794	3.2.1.35	Glycosyl hydrolase 56 family	Hydrolases
Q12873	3.6.4.12	SNF2/RAD54 helicase family	Hydrolases
Q12884	3.4.14.5; 3.4.21.-; 3.4.21.26	Peptidase S9B family	Hydrolases
Q12891	3.2.1.35	Glycosyl hydrolase 56 family	Hydrolases
Q12913	3.1.3.48	Protein-tyrosine phosphatase family, Receptor class 3 subfamily	Hydrolases
Q12923	3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class subfamily	Hydrolases
Q12972	3.1.4.-		Hydrolases
Q12974	3.1.3.48	Protein-tyrosine phosphatase family	Hydrolases
Q13093	3.1.1.47	AB hydrolase superfamily, Lipase family	Hydrolases
Q13107	3.4.19.12	Peptidase C19 family, USP4 subfamily	Hydrolases
Q13115	3.1.3.16; 3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily	Hydrolases
Q13202	3.1.3.16; 3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily	Hydrolases
Q13206	3.6.4.13	DEAD box helicase family, DDX10/DBP4 subfamily	Hydrolases
Q13219	3.4.24.79	Peptidase M43B family	Hydrolases
Q13231	3.2.1.14	Glycosyl hydrolase 18 family, Chitinase class II subfamily	Hydrolases
Q13283	3.6.4.12; 3.6.4.13		Hydrolases
Q13332	3.1.3.48	Protein-tyrosine phosphatase family, Receptor class 2A subfamily	Hydrolases
Q13370	3.1.4.17	Cyclic nucleotide phosphodiesterase family, PDE3 subfamily	Hydrolases
Q13393	3.1.4.4	Phospholipase D family	Hydrolases
Q13443	3.4.24.-		Hydrolases
Q13444	3.4.24.-		Hydrolases
Q13478	3.2.2.6	Interleukin-1 receptor family	Hydrolases
Q13496	3.1.3.95	Protein-tyrosine phosphatase family, Non-receptor class myotubularin subfamily	Hydrolases
Q13510	3.5.1.-; 3.5.1.109; 3.5.1.23	Acid ceramidase family	Hydrolases
Q13547	3.5.1.-; 3.5.1.98	Histone deacetylase family, HD type 1 subfamily	Hydrolases
Q13569	3.2.2.29	Uracil-DNA glycosylase (UDG) superfamily, TDG/mug family	Hydrolases
Q13608	3.6.4.-	AAA ATPase family	Hydrolases
Q13609	3.1.21.-	DNase I family	Hydrolases
Q13613	3.1.3.-; 3.1.3.95	Protein-tyrosine phosphatase family, Non-receptor class myotubularin subfamily	Hydrolases
Q13614	3.1.3.95	Protein-tyrosine phosphatase family, Non-receptor class myotubularin subfamily	Hydrolases
Q13615	3.1.3.95	Protein-tyrosine phosphatase family, Non-receptor class myotubularin subfamily	Hydrolases
Q13724	3.2.1.106	Glycosyl hydrolase 63 family	Hydrolases
Q13822	3.1.4.39; 3.1.4.4	Nucleotide pyrophosphatase/phosphodiesterase family	Hydrolases
Q13838	3.6.4.13	DEAD box helicase family, DECD subfamily	Hydrolases
Q13867	3.4.22.40	Peptidase C1 family	Hydrolases
Q13946	3.1.4.53	Cyclic nucleotide phosphodiesterase family, PDE7 subfamily	Hydrolases
Q13956	3.1.4.35	Rod/cone cGMP-PDE gamma subunit family	Hydrolases
Q14032	2.3.1.65; 3.1.2.2; 3.1.2.27	C/M/P thioester hydrolase family	Hydrolases
Q14117	3.5.2.2	Metallo-dependent hydrolases superfamily, Hydantoinase/dihydropyrimidinase family	Hydrolases
Q14123	3.1.4.17	Cyclic nucleotide phosphodiesterase family, PDE1 subfamily	Hydrolases
Q14147	3.6.4.13	DEAD box helicase family, DEAH subfamily	Hydrolases
Q14191	3.1.-.-; 5.6.2.4	Helicase family, RecQ subfamily	Hydrolases
Q14197	3.1.1.29	Prokaryotic/mitochondrial release factor family, Mitochondrion-specific ribosomal protein mL62 subfamily	Hydrolases
Q14240	3.6.4.13	DEAD box helicase family, eIF4A subfamily	Hydrolases
Q14249	3.1.30.-	DNA/RNA non-specific endonuclease family	Hydrolases
Q14432	3.1.4.17	Cyclic nucleotide phosphodiesterase family, PDE3 subfamily	Hydrolases
Q14520	3.4.21.-	Peptidase S1 family	Hydrolases
Q14527	2.3.2.27; 3.6.4.-	SNF2/RAD54 helicase family, RAD16 subfamily	Hydrolases
Q14562	3.6.4.13	DEAD box helicase family, DEAH subfamily, DDX8/PRP22 sub-subfamily	Hydrolases
Q14566	3.6.4.12	MCM family	Hydrolases
Q14623	3.1.-.-	Hedgehog family	Hydrolases
Q14642	3.1.3.56	Inositol 1,4,5-trisphosphate 5-phosphatase type I family	Hydrolases
Q14674	3.4.22.49		Hydrolases
Q14693	3.1.3.4	Lipin family	Hydrolases
Q14694	3.4.19.12	Peptidase C19 family, USP10 subfamily	Hydrolases
Q14697	3.2.1.207	Glycosyl hydrolase 31 family	Hydrolases
Q14703	3.4.21.112	Peptidase S8 family	Hydrolases
Q14790	3.4.22.61	Peptidase C14A family	Hydrolases
Q14839	3.6.4.12	SNF2/RAD54 helicase family	Hydrolases
Q149N8	2.3.2.27; 3.6.4.-	SNF2/RAD54 helicase family	Hydrolases
Q14CN2	3.4.-.-	CLCR family	Hydrolases
Q15040	3.4.19.12		Hydrolases
Q15102	3.1.1.47	'GDSL' lipolytic enzyme family, Platelet-activating factor acetylhydrolase IB beta/gamma subunits subfamily	Hydrolases
Q15125	3.3.2.11; 5.3.3.5	EBP family	Hydrolases
Q15147	3.1.4.11		Hydrolases
Q15165	3.1.1.2; 3.1.1.81	Paraoxonase family	Hydrolases
Q15166	3.1.1.2; 3.1.1.81; 3.1.8.1	Paraoxonase family	Hydrolases
Q15256	3.1.3.48	Protein-tyrosine phosphatase family, Receptor class 7 subfamily	Hydrolases
Q15262	3.1.3.48	Protein-tyrosine phosphatase family, Receptor class 2B subfamily	Hydrolases
Q15382	3.6.5.-	Small GTPase superfamily, Rheb family	Hydrolases
Q15465	3.1.-.-	Hedgehog family	Hydrolases
Q15477	3.6.4.13	Helicase family, SKI2 subfamily	Hydrolases
Q15493	3.1.1.17	SMP-30/CGR1 family	Hydrolases
Q15631	3.1.-.-	Translin family	Hydrolases
Q15661	3.4.21.59	Peptidase S1 family, Tryptase subfamily	Hydrolases
Q15678	3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class subfamily	Hydrolases
Q15735	3.1.3.36; 3.1.3.56	Inositol 1,4,5-trisphosphate 5-phosphatase type II family	Hydrolases
Q15777	3.1.-.-	UPF0046 family	Hydrolases
Q15907	3.6.5.2	Small GTPase superfamily, Rab family	Hydrolases
Q16518	3.1.1.64; 5.3.3.22	Carotenoid oxygenase family	Hydrolases
Q16549	3.4.21.-	Peptidase S8 family	Hydrolases
Q16651	3.4.21.-	Peptidase S1 family	Hydrolases
Q16667	3.1.3.16; 3.1.3.48	Protein-tyrosine phosphatase family	Hydrolases
Q16690	3.1.3.16; 3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily	Hydrolases
